RESPONSE,RACE_INT,SUBJECT,AGE,GENDER,DATE,TIMESTAMP,LINE
0,black,life,85,female,10/13/2021,00:42.2," EVEN AT 16,  WHEN YOU BECAME PREGNANT,
 SHE DID NOT SHAME YOU.  NOT AT ALL.
"
0,black,life,85,female,10/13/2021,00:46.3," AND I GOT TO SAY THIS
 NOBODY HAS  BETTER INSIGHT AND PERSPECTIVE
 ABOUT AGING BRILLIANTLY.
"
0,black,life,85,female,10/13/2021,10:08.9," I KNOW, AND EVEN AT 16,  WHEN YOU BECAME PREGNANT,
 SHE DID NOT SHAME YOU.  NOT AT ALL.
"
0,black,life,85,female,10/13/2021,15:16.3," BECAUSE ANOTHER BOOK  THAT YOU WROTE, THERE'S A POEM,
 ""NOBODY MAKES IT ALONE.""
"
0,black,life,85,female,10/13/2021,15:21.5," NOBODY MAKES IT   NOBODY MAKES IT ALONE,
 AND EVERYBODY  NEEDS SOMEBODY.
"
0,black,life,85,female,10/13/2021,22:52.3," TO KNOW THAT  NONE OF US ARE ALONE.
"
0,black,life,85,female,10/13/2021,26:17.4," NOT HERE, YOU WON'T.  NOT  NO.
"
1,black,life,85,female,10/13/2021,26:46.0," BUT NOTHING TOPS  HAVING THE PLACE INSIDE YOURSELF
 THAT NOBODY ELSE  HAS A RIGHT TO INVADE.
"
0,black,life,85,female,10/13/2021,30:50.6," THERE'S NOT JUST ONE GATE.
"
0,black,life,85,female,10/13/2021,32:14.5," NOT FACTS, BECAUSE  FACTS CAN OBSCURE THE TRUTH.
"
0,black,life,85,female,10/13/2021,32:17.8," THE PLACES WHERE,  THE PEOPLE WHO,
 TIMES WHEN,  THE REASONS WHY,
 BLAH, BLAH, BLAH,
 NEVER GETTING TO  THE TRUTH.
"
0,black,life,85,female,10/13/2021,32:19.2," TIMES WHEN,  THE REASONS WHY,
 BLAH, BLAH, BLAH,
 NEVER GETTING TO  THE TRUTH.
"
0,black,life,85,female,10/13/2021,32:20.5," BLAH, BLAH, BLAH,
 NEVER GETTING TO  THE TRUTH.
"
0,black,life,85,female,10/13/2021,32:22.7," NEVER GETTING TO  THE TRUTH.
"
0,black,life,85,female,10/13/2021,35:48.2," NOT JUST TO THE PERSON  OR PERSONS FOR WHOM I'M PRAYING,
 BUT ALSO SOMETHING WONDERFUL  HAPPENS TO ME.
"
0,black,life,85,female,10/13/2021,39:17.4," I CAN THINK OF NO BETTER WAY  TO END TODAY'S SHOW
 THAN WITH SOME OF MAYA'S  PROFOUND WORDS
 FROM ""ON THE PULSE OF MORNING.""
"
0,black,life,85,female,10/13/2021,39:32.9," ""HISTORY,  DESPITE ITS WRENCHING PAIN,
 ""CANNOT BE UNLIVED,
 ""BUT IF FACED WITH COURAGE,
 ""NEED NOT BE LIVED AGAIN.
"
0,black,life,85,female,10/13/2021,39:35.0," ""CANNOT BE UNLIVED,
 ""BUT IF FACED WITH COURAGE,
 ""NEED NOT BE LIVED AGAIN.
"
0,black,life,85,female,10/13/2021,39:37.5," ""BUT IF FACED WITH COURAGE,
 ""NEED NOT BE LIVED AGAIN.
"
0,black,life,85,female,10/13/2021,39:39.6," ""NEED NOT BE LIVED AGAIN.
"
0,black,life,85,female,10/13/2021,40:08.4," ""DO NOT BE  WEDDED FOREVER TO FEAR,
 ""YOKED ETERNALLY TO BRUTISHNESS.
"
0,black,life,85,female,10/13/2021,40:32.5," ""NO LESS TO MIDAS  THAN THE MENDICANT.
"
0,black,life,85,female,10/13/2021,40:36.7," ""NO LESS TO YOU NOW  THAN THE MASTODON THEN.
"
